property 1	property 2	implies	allen 1	allen 2	allen result
encompasses	encompasses	encompasses	D	D	D
encompasses	ends with and starts before	encompasses	D	F	D
encompasses	immediately preceded by	during which ends	D	M	DSO
encompasses	starts during and ends after	during which ends	D	O	DSO
encompasses	strictly preceded by	ends after	D	P	DSOMP
encompasses	starts with and ends after	encompasses	D	S	D
encompasses	happens during	temporally overlaps	D	d	oFDseSdfO
encompasses	temporally coincides with	encompasses	D	e	D
encompasses	ends with and starts after	during which ends	D	f	DSO
encompasses	immediately precedes	during which starts	D	m	oFD
encompasses	starts before and ends during	during which starts	D	o	oFD
encompasses	strictly precedes	starts before	D	p	pmoFD
encompasses	starts with and ends before	during which starts	D	s	oFD
encompasses	during which ends	during which ends	D	DSO	DSO
encompasses	ends with	during which ends	D	Fef	DSO
encompasses	later than	ends after	D	OMP	DSOMP
encompasses	starts during	temporally overlaps	D	dfO	oFDseSdfO
encompasses	during which starts	during which starts	D	oFD	oFD
encompasses	ends during	temporally overlaps	D	osd	oFDseSdfO
encompasses	earlier than	starts before	D	pmo	pmoFD
encompasses	starts with	during which starts	D	seS	oFD
encompasses	ends after	ends after	D	DSOMP	DSOMP
encompasses	starts during or after	ends after start of	D	dfOMP	oFDseSdfOMP
encompasses	starts before	starts before	D	pmoFD	pmoFD
encompasses	ends during or before	starts before end of	D	pmosd	pmoFDseSdfO
encompasses	temporally overlaps	temporally overlaps	D	oFDseSdfO	oFDseSdfO
encompasses	ends after start of	ends after start of	D	oFDseSdfOMP	oFDseSdfOMP
encompasses	starts before end of	starts before end of	D	pmoFDseSdfO	pmoFDseSdfO
encompasses	temporally related to	temporally related to	D	pmoFDseSdfOMP	pmoFDseSdfOMP
ends with and starts before	encompasses	encompasses	F	D	D
ends with and starts before	ends with and starts before	ends with and starts before	F	F	F
ends with and starts before	immediately preceded by	during which ends	F	M	DSO
ends with and starts before	starts during and ends after	during which ends	F	O	DSO
ends with and starts before	strictly preceded by	ends after	F	P	DSOMP
ends with and starts before	starts with and ends after	encompasses	F	S	D
ends with and starts before	happens during	ends during	F	d	osd
ends with and starts before	temporally coincides with	ends with and starts before	F	e	F
ends with and starts before	ends with and starts after	ends with	F	f	Fef
ends with and starts before	immediately precedes	immediately precedes	F	m	m
ends with and starts before	starts before and ends during	starts before and ends during	F	o	o
ends with and starts before	strictly precedes	strictly precedes	F	p	p
ends with and starts before	starts with and ends before	starts before and ends during	F	s	o
ends with and starts before	during which ends	during which ends	F	DSO	DSO
ends with and starts before	ends with	ends with	F	Fef	Fef
ends with and starts before	later than	ends after	F	OMP	DSOMP
ends with and starts before	starts during	temporally overlaps	F	dfO	oFDseSdfO
ends with and starts before	during which starts	during which starts	F	oFD	oFD
ends with and starts before	ends during	ends during	F	osd	osd
ends with and starts before	earlier than	earlier than	F	pmo	pmo
ends with and starts before	starts with	during which starts	F	seS	oFD
ends with and starts before	ends after	ends after	F	DSOMP	DSOMP
